level_0,index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,0,2360144,2404548.0,,,,,,,7.0,,,,,,,"['food', 'grocery_cart']",0,1
1,3,2404548,2408390.0,,,,,,,,,,,,,,no_ops,0,1
2,4,2408390,2424336.0,,,,,,2.0,,,,,,,,"['food', 'grocery_cart']",0,1
3,6,2424336,2453474.0,,,,,,,,,,,,,,no_ops,0,1
4,7,2453474,2478294.0,,2.0,,,,,,,,,,,,['bucket'],1,2
5,8,2478294,2488154.0,,,,,,,,,,,,,,no_ops,0,3
6,9,2488154,2536536.0,,,5.0,,,,,,,,,,,['balls'],1,4
7,10,2537182,2576928.0,,,,,,,,,,,,3.0,,['stroller'],0,5
8,11,2576928,2595492.0,,,,,,,,,,,,,,no_ops,0,5
9,12,2595492,2628302.0,,,,,1.0,,,,,,,,,['clear_ball'],0,5
10,13,2628302,2634252.0,,,,,,,,,,,,,,no_ops,0,5
11,14,2634252,2638332.0,,,,,2.0,,,,,,,,,['clear_ball'],0,5
12,15,2638332,2645472.0,,,,,,,,,,,,,,no_ops,0,5
13,16,2645472,2694126.0,,,,,3.0,,,,,,,,,['clear_ball'],0,5
14,17,2694126,2704224.0,,,,,,,,,,,,,,no_ops,0,5
15,18,2704224,2716396.0,,,,,4.0,,,,,,,,,['clear_ball'],0,5
16,19,2716396,2722040.0,,,,,,,,,,,,,,no_ops,0,5
17,20,2722040,2742610.0,,,,,5.0,,,,,,,,,['clear_ball'],0,5
18,21,2742610,2753150.0,,,,,,,,,,,,,,no_ops,0,5
19,22,2753150,2760222.0,,,,,6.0,,,,,,,,,['clear_ball'],0,5
20,23,2760222,2764676.0,,,,,,,,,,,,,,no_ops,0,5
21,24,2764676,2771102.0,,,,,8.0,,,,,,,,,['clear_ball'],0,5
22,25,2773992,2776814.0,,,,,,,10.0,,,,,,,['grocery_cart'],0,5
23,26,2776814,2809284.0,,,,,,,,,,,,,,no_ops,0,5
24,27,2809284,2840496.0,,,6.0,,,,,,,,,,,['balls'],1,6
25,28,2840496,2849948.0,,,,,,,,,,,,,,no_ops,0,7
26,29,2849948,2874904.0,,,7.0,,,,,,,,,,,"['bucket', 'balls']",1,8
