level_0,index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,0,1009290.0,1013778.0,['bucket'],,,,,,,,,,,,,1.0,1,1
1,1,1013778.0,1017042.0,no_ops,,,,,,,,,,,,,,0,2
2,2,1017042.0,1174666.0,"['food', 'grocery_cart']",,,,,,,,,,,1.0,,,0,2
3,39,1176910.0,1178270.0,['clear_ball'],,,,,,,,1.0,,,,,,0,2
4,40,1178270.0,1182758.0,no_ops,,,,,,,,,,,,,,0,2
5,41,1182758.0,1203702.0,"['grocery_cart', 'balls', 'food']",,,,,,,,,1.0,,,,,0,2
6,48,1203702.0,1205606.0,"['clear_ball', 'food']",,,,,,,,2.0,,7.0,,,,0,2
7,49,1205606.0,1233214.0,"['food', 'grocery_cart']",,,,,,,,,,7.0,,,,0,2
8,54,1233214.0,1236410.0,no_ops,,,,,,,,,,,,,,0,2
9,55,1236410.0,1241170.0,"['food', 'grocery_cart']",,,,,,,,,,10.0,18.0,,,0,2
10,57,1241170.0,1244672.0,no_ops,,,,,,,,,,,,,,0,2
11,58,1244672.0,1316106.0,"['grocery_cart', 'balls', 'food']",,,,,,,,,2.0,,,,,0,2
12,75,1316106.0,1322430.0,no_ops,,,,,,,,,,,,,,0,2
13,76,1322430.0,1388738.0,"['food', 'grocery_cart']",,,,,,,,,,16.0,,,,0,2
14,86,1388738.0,1393864.0,no_ops,,,,,,,,,,,,,,0,2
15,87,1393864.0,1396550.0,['food'],,,,,,,,,,20.0,,,,1,3
16,88,1396550.0,1405118.0,no_ops,,,,,,,,,,,,,,0,4
17,89,1405118.0,1410422.0,['food'],,,,,,,,,,21.0,,,,1,5
18,90,1410422.0,1420962.0,no_ops,,,,,,,,,,,,,,0,6
19,91,1420962.0,1427422.0,['food'],,,,,,,,,,22.0,,,,1,7
20,92,1427422.0,1434120.0,no_ops,,,,,,,,,,,,,,0,8
21,93,1434120.0,1436092.0,['food'],,,,,,,,,,24.0,,,,1,9
22,94,1436092.0,1439254.0,no_ops,,,,,,,,,,,,,,0,10
23,95,1439254.0,1455404.0,"['food', 'grocery_cart']",,,,,,,,,,25.0,,,,0,10
24,99,1455404.0,1459722.0,no_ops,,,,,,,,,,,,,,0,10
25,100,1459722.0,1474342.0,"['food', 'grocery_cart']",,,,,,,,,,27.0,,,,0,10
26,103,1474342.0,1478252.0,no_ops,,,,,,,,,,,,,,0,10
27,104,1478252.0,1497224.0,"['food', 'grocery_cart']",,,,,,,,,,29.0,,,,0,10
28,108,1497224.0,1500658.0,no_ops,,,,,,,,,,,,,,0,10
29,109,1500658.0,1501712.0,['food'],,,,,,,,,,30.0,,,,1,11
30,110,1501712.0,1507220.0,no_ops,,,,,,,,,,,,,,0,12
31,111,1507220.0,1512728.0,['food'],,,,,,,,,,31.0,,,,1,13
32,112,1512728.0,1520854.0,no_ops,,,,,,,,,,,,,,0,14
