onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord
2420392.0,2469590,no_ops,,,,,,,,,,,,,
2469590.0,2472752,['xylophone'],,,,5.0,,,,,,,,,
2472752.0,2481864,no_ops,,,,,,,,,,,,,
2481864.0,2488460,['xylophone'],,,,7.0,,,,,,,,,
2488460.0,2493730,no_ops,,,,,,,,,,,,,
2493730.0,2502570,['xylophone'],,,,8.0,,,,,,,,,
2502570.0,2507568,no_ops,,,,,,,,,,,,,
2507568.0,2509642,['xylophone'],,,,10.0,,,,,,,,,
2509642.0,2512736,no_ops,,,,,,,,,,,,,
2512736.0,2522018,['xylophone'],,,,11.0,,,,,,,,,
2522018.0,2581212,no_ops,,,,,,,,,,,,,
2581212.0,2589032,['bricks'],1.0,,,,,,,,,,,,
2589032.0,2593350,no_ops,,,,,,,,,,,,,
2593350.0,2660296,['bricks'],3.0,,,,,,,,,,,,
2660296.0,2663390,no_ops,,,,,,,,,,,,,
2663390.0,2664206,['bricks'],16.0,,,,,,,,,,,,
2664206.0,2667538,no_ops,,,,,,,,,,,,,
2667538.0,2680934,['bricks'],17.0,,,,,,,,,,,,
2680934.0,2685184,no_ops,,,,,,,,,,,,,
2685184.0,2688516,['bricks'],20.0,,,,,,,,,,,,
2688516.0,2694330,no_ops,,,,,,,,,,,,,
2694330.0,2702830,['bricks'],22.0,,,,,,,,,,,,
2702830.0,2720612,no_ops,,,,,,,,,,,,,
2720612.0,2733906,['bricks'],23.0,,,,,,,,,,,,
2733906.0,2753456,no_ops,,,,,,,,,,,,,
2753456.0,2764200,['bricks'],26.0,,,,,,,,,,,,
2764200.0,2767702,no_ops,,,,,,,,,,,,,
2767702.0,2795480,['xylophone'],,,,13.0,,,,,,,,,
2795480.0,2802824,no_ops,,,,,,,,,,,,,
2802824.0,2803062,['bricks'],27.0,,,,,,,,,,,,
2803062.0,2812446,no_ops,,,,,,,,,,,,,
2812446.0,2870994,['bricks'],28.0,,,,,,,,,,,,
2870994.0,2895440,no_ops,,,,,,,,,,,,,
2895440.0,2917948,['bricks'],36.0,,,,,,,,,,,,
2917948.0,2928046,no_ops,,,,,,,,,,,,,
2928046.0,2939946,['bricks'],37.0,,,,,,,,,,,,
2939946.0,2943244,no_ops,,,,,,,,,,,,,
2943244.0,2945012,['bricks'],38.0,,,,,,,,,,,,
