index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,2133024.0,2138702.0,no_ops,,,,,,,,,,,,,,0,1
1,2138702.0,2202724.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,2.0,,,,,,,,,1,2
15,2202724.0,2210102.0,no_ops,,,,,,,,,,,,,,0,3
16,2210102.0,2251140.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,9.0,,,,,,,,1,4
28,2251140.0,2254914.0,no_ops,,,,,,,,,,,,,,0,5
29,2254914.0,2258110.0,['shape_sorter'],,,,,17.0,,,,,,,,,1,6
30,2258110.0,2263720.0,no_ops,,,,,,,,,,,,,,0,7
31,2263720.0,2268378.0,['shape_sorter'],,,,,18.0,,,,,,,,,1,8
32,2268378.0,2273206.0,no_ops,,,,,,,,,,,,,,0,9
33,2273206.0,2290954.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,,13.0,,,,,,,,1,10
40,2290954.0,2321452.0,no_ops,,,,,,,,,,,,,,0,11
41,2321452.0,2345456.0,['popuppals'],,,9.0,,,,,,,,,,,0,11
42,2345456.0,2349876.0,no_ops,,,,,,,,,,,,,,0,11
43,2349876.0,2361776.0,['popuppals'],,,14.0,,,,,,,,,,,0,11
44,2361776.0,2365346.0,no_ops,,,,,,,,,,,,,,0,11
45,2365346.0,2372622.0,['popuppals'],,,15.0,,,,,,,,,,,0,11
46,2372622.0,2375988.0,no_ops,,,,,,,,,,,,,,0,11
47,2375988.0,2390064.0,['popuppals'],,,17.0,,,,,,,,,,,0,11
48,2390064.0,2395062.0,no_ops,,,,,,,,,,,,,,0,11
49,2395062.0,2410056.0,['popuppals'],,,20.0,,,,,,,,,,,0,11
50,2410056.0,2413898.0,no_ops,,,,,,,,,,,,,,0,11
51,2413898.0,2415496.0,['xylophone'],,,,6.0,,,,,,,,,,0,11
52,2417434.0,2421276.0,['popuppals'],,,23.0,,,,,,,,,,,0,11
53,2423078.0,2423792.0,['xylophone'],,,,7.0,,,,,,,,,,0,11
54,2424778.0,2427736.0,['popuppals'],,,24.0,,,,,,,,,,,0,11
55,2427736.0,2433924.0,no_ops,,,,,,,,,,,,,,0,11
56,2433924.0,2441812.0,['popuppals'],,,25.0,,,,,,,,,,,0,11
57,2441812.0,2452896.0,no_ops,,,,,,,,,,,,,,0,11
58,2452896.0,2455310.0,['popuppals'],,,27.0,,,,,,,,,,,0,11
59,2455310.0,2458982.0,no_ops,,,,,,,,,,,,,,0,11
60,2458982.0,2460954.0,['popuppals'],,,28.0,,,,,,,,,,,0,11
61,2460954.0,2466598.0,no_ops,,,,,,,,,,,,,,0,11
62,2466598.0,2474860.0,['popuppals'],,,29.0,,,,,,,,,,,0,11
63,2474860.0,2481864.0,no_ops,,,,,,,,,,,,,,0,11
64,2481864.0,2490296.0,['popuppals'],,,30.0,,,,,,,,,,,0,11
65,2490296.0,2493594.0,no_ops,,,,,,,,,,,,,,0,11
66,2493594.0,2494274.0,['popuppals'],,,31.0,,,,,,,,,,,0,11
67,2494274.0,2497572.0,no_ops,,,,,,,,,,,,,,0,11
68,2497572.0,2523616.0,['popuppals'],,,32.0,,,,,,,,,,,0,11
69,2523616.0,2527118.0,no_ops,,,,,,,,,,,,,,0,11
70,2527118.0,2527526.0,['popuppals'],,,36.0,,,,,,,,,,,0,11
71,2527526.0,2531096.0,no_ops,,,,,,,,,,,,,,0,11
72,2531096.0,2531606.0,['popuppals'],,,37.0,,,,,,,,,,,0,11
73,2531606.0,2535414.0,no_ops,,,,,,,,,,,,,,0,11
74,2535414.0,2536978.0,['popuppals'],,,38.0,,,,,,,,,,,0,11
75,2536978.0,2540786.0,no_ops,,,,,,,,,,,,,,0,11
76,2540786.0,2542826.0,['popuppals'],,,39.0,,,,,,,,,,,0,11
77,2542826.0,2546124.0,no_ops,,,,,,,,,,,,,,0,11
78,2546124.0,2554046.0,['popuppals'],,,40.0,,,,,,,,,,,0,11
79,2554046.0,2577506.0,no_ops,,,,,,,,,,,,,,0,11
80,2577506.0,2582742.0,['pig'],,11.0,,,,,,,,,,,,0,11
81,2584136.0,2589304.0,['bricks'],13.0,,,,,,,,,,,,,0,11
82,2589304.0,2594098.0,no_ops,,,,,,,,,,,,,,0,11
83,2594098.0,2597736.0,['bricks'],14.0,,,,,,,,,,,,,0,11
84,2597736.0,2601578.0,no_ops,,,,,,,,,,,,,,0,11
85,2601578.0,2609704.0,['bricks'],15.0,,,,,,,,,,,,,0,11
86,2609704.0,2613852.0,no_ops,,,,,,,,,,,,,,0,11
87,2613852.0,2616334.0,['bricks'],17.0,,,,,,,,,,,,,0,11
88,2617796.0,2621434.0,['pig'],,12.0,,,,,,,,,,,,0,11
89,2621434.0,2628744.0,no_ops,,,,,,,,,,,,,,0,11
90,2628744.0,2630886.0,['pig'],,13.0,,,,,,,,,,,,0,11
91,2630886.0,2640542.0,no_ops,,,,,,,,,,,,,,0,11
