index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,1665728,1674568.0,,,,,,,15.0,,,,,18.0,,"['grocery_cart', 'stroller']",0,1
1,1674568,1687930.0,,,,,,,,,,,,18.0,,['stroller'],0,1
2,1687930,1697484.0,,,,,,,,,,,,,,no_ops,0,1
3,1697484,1705814.0,,,,,,,,,,,,19.0,,['stroller'],0,1
4,1705814,1709384.0,,,,,,,,,,,,,,no_ops,0,1
5,1709384,1718972.0,,,,,,,,,,,,20.0,,['stroller'],0,1
6,1718972,1722610.0,,,,,,,,,,,,,,no_ops,0,1
7,1722610,1766810.0,,,,,,,,,,,,21.0,,['stroller'],0,1
8,1767150,1792208.0,,,,,,,16.0,,,,,,,"['food', 'grocery_cart']",1,2
14,1793772,1836170.0,,,,,,,,,,,,22.0,,['stroller'],0,3
15,1836170,1843174.0,,,,,,,18.0,,,,,22.0,,"['grocery_cart', 'stroller']",0,3
16,1843174,1846733.0,,,,,,,,,,,,22.0,,['stroller'],0,3
17,1846733,1868198.0,,,,,,,19.0,,,,,22.0,,"['grocery_cart', 'stroller']",0,3
18,1868198,1872822.0,,,,,,,,,,,,22.0,,['stroller'],0,3
19,1874130,1878806.0,,,,,,,20.0,,,,,,,['grocery_cart'],1,4
20,1881764,1884246.0,,,,,,,,,,,,23.0,,['stroller'],0,5
21,1884246,1893766.0,,,,,,,21.0,,,,,23.0,,"['grocery_cart', 'stroller']",0,5
22,1893766,1895908.0,,,,,,,,,,,,23.0,,['stroller'],0,5
23,1896928,1915424.0,,,,,,,22.0,,,,,,,"['food', 'grocery_cart']",1,6
27,1915424,1928276.0,,,,,,,,,,,,,,no_ops,0,7
28,1928276,1936572.0,,,,,,,,,,,,24.0,,['stroller'],0,7
29,1936572,1940346.0,,,,,3.0,,,,,,,24.0,,"['clear_ball', 'stroller']",0,7
30,1940346,1940482.0,,,,,,,,,,,,24.0,,['stroller'],0,7
31,1941740,1943916.0,,,,,4.0,,,,,,,,,['clear_ball'],0,7
32,1943916,1947996.0,,,,,,,,,,,,,,no_ops,0,7
33,1947996,1950954.0,,,,,5.0,,,,,,,,,['clear_ball'],0,7
34,1950954,1954490.0,,,,,,,,,,,,,,no_ops,0,7
35,1954490,1958196.0,,,,,,,,,,,,25.0,,['stroller'],0,7
36,1958196,1961392.0,,,,,6.0,,,,,,,25.0,,"['clear_ball', 'stroller']",0,7
37,1961392,1984342.0,,,,,,,,,,,,25.0,,['stroller'],0,7
38,1984342,1990156.0,,,,,,,,,,,,,,no_ops,0,7
39,1990156,1998282.0,,,,,,,,,,,,26.0,,['stroller'],0,7
40,1998282,2011338.0,,,,,,,,,,,,,,no_ops,0,7
41,2011338,2013616.0,,,,,,,,,,,,28.0,,['stroller'],0,7
42,2013616,2018614.0,,,,,,,,,,,,,,no_ops,0,7
43,2018614,2151690.0,,,,,,,,,,,,29.0,,['stroller'],0,7
44,2152200,2156620.0,,,,,,,24.0,,,,,,,['grocery_cart'],1,8
45,2157640,2160768.0,,,,,,,,,,,,30.0,,['stroller'],0,9
46,2160768,2185418.0,,,,,,,25.0,,,,,30.0,,"['grocery_cart', 'stroller']",0,9
