level_0,index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,0,404396.0,443088.0,"['bucket', 'balls']",,,,,,,,,1.0,,,,1.0,1,1
3,3,443088.0,517582.0,"['grocery_cart', 'balls']",,,,,,,,,2.0,,,,,0,2
4,5,517582.0,529618.0,no_ops,,,,,,,,,,,,,,0,2
5,6,529618.0,552738.0,['grocery_cart'],,,,,,,,,,,2.0,,,0,2
6,7,552738.0,555900.0,no_ops,,,,,,,,,,,,,,0,2
7,8,555900.0,567120.0,['grocery_cart'],,,,,,,,,,,3.0,,,0,2
8,9,567120.0,609212.0,no_ops,,,,,,,,,,,,,,0,2
9,10,609212.0,636004.0,['stroller'],,,,,,,,,,,,1.0,,0,2
10,11,636004.0,639302.0,"['grocery_cart', 'stroller']",,,,,,,,,,,4.0,1.0,,0,2
11,12,639302.0,644742.0,['stroller'],,,,,,,,,,,,1.0,,0,2
12,13,644742.0,649026.0,no_ops,,,,,,,,,,,,,,0,2
13,14,649026.0,690914.0,['broom'],,,,,,,1.0,,,,,,,0,2
14,15,691220.0,703868.0,['stroller'],,,,,,,,,,,,2.0,,0,2
15,16,703868.0,716652.0,no_ops,,,,,,,,,,,,,,0,2
16,17,716652.0,748680.0,['broom'],,,,,,,2.0,,,,,,,0,2
17,18,748680.0,750176.0,"['broom', 'grocery_cart']",,,,,,,2.0,,,,5.0,,,0,2
18,19,750176.0,795362.0,"['grocery_cart', 'balls']",,,,,,,,,,,5.0,,,0,2
19,22,795362.0,798694.0,no_ops,,,,,,,,,,,,,,0,2
20,23,798694.0,822290.0,"['grocery_cart', 'balls']",,,,,,,,,4.0,,,,,0,2
21,25,822290.0,945302.0,no_ops,,,,,,,,,,,,,,0,2
