onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy
306102,307394.0,,,,,1.0,,,,,,,,,['clear_ball']
307394,311270.0,,,,,,,,,,,,,,no_ops
311270,317220.0,,,,,2.0,,,,,,,,,['clear_ball']
317220,358462.0,,,,,,,,,,,,,,no_ops
358462,359278.0,,,,,3.0,,,,,,,,,['clear_ball']
359278,366860.0,,,,,,,,,,,,,,no_ops
366860,377672.0,,,,,4.0,,,,,,,,,['clear_ball']
377672,384540.0,,,,,,,,,,,,,,no_ops
384540,389028.0,,,,,5.0,,,,,,,,,['clear_ball']
389028,432378.0,,,,,,,,,,,,,,no_ops
432378,434384.0,,,,,6.0,,,,,,,,,['clear_ball']
434384,441422.0,,,,,,,,,,,,,,no_ops
441422,458286.0,,,,,7.0,,,,,,,,,['clear_ball']
458286,516596.0,,,,,,,,,,,,,,no_ops
516596,531046.0,,,,,8.0,,,,,,,,,['clear_ball']
531046,547502.0,,,,,,,,,,,,,,no_ops
547502,551140.0,,,,,11.0,,,,,,,,,['clear_ball']
551140,554880.0,,,,,,,,,,,,,,no_ops
554880,562904.0,,,,,12.0,,,,,,,,,['clear_ball']
562904,681190.0,,,,,,,,,,,,,,no_ops
681190,701386.0,,,,,13.0,,,,,,,,,['clear_ball']
701386,704514.0,,,,,,,,,,,,,,no_ops
704514,726478.0,,,,,14.0,,,,,,,,,['clear_ball']
726478,732020.0,,,,,,,,,,,,,,no_ops
732020,737902.0,,,,,16.0,,,,,,,,,['clear_ball']
737902,745722.0,,,,,,,,,,,,,,no_ops
745722,753406.0,,,,,17.0,,,,,,,,,['clear_ball']
753406,803590.0,,,,,,,,,,,,,,no_ops
