level_0,index,onset,offset,bricks_ord,bucket_ord,balls_ord,broom_ord,clear_ball_ord,food_ord,grocery_cart_ord,pig_ord,popuppals_ord,shape_sorter_ord,shape_sorter_blocks_ord,stroller_ord,xylophone_ord,toy,contain,g
0,0,896784,903142.0,,,,1.0,,,,,,,,,,['broom'],0,1
1,1,903142,911608.0,,,,,,,,,,,,,,no_ops,0,1
2,2,911608,930342.0,,,,,,,,,,,,1.0,,['stroller'],0,1
3,3,930342,934728.0,,,,,,,,,,,,,,no_ops,0,1
4,4,934728,961078.0,,,,2.0,,,,,,,,,,['broom'],0,1
5,5,961078,965940.0,,,,,,,,,,,,,,no_ops,0,1
6,6,965940,997560.0,,1.0,,,,,,,,,,,,"['bucket', 'balls']",1,2
9,9,997560,1001470.0,,,,,,,,,,,,,,no_ops,0,3
10,10,1001470,1026732.0,,,,,,,,,,,,2.0,,['stroller'],0,3
11,11,1026732,1031458.0,,,,,,,,,,,,,,no_ops,0,3
12,12,1031458,1041726.0,,,,,,,,,,,,3.0,,['stroller'],0,3
13,13,1041726,1049886.0,,,,,,,,,,,,,,no_ops,0,3
14,14,1049886,1067974.0,,,,,,,,,,,,4.0,,['stroller'],0,3
15,15,1067974,1072156.0,,,,,,,,,,,,,,no_ops,0,3
16,16,1072156,1073176.0,,,,,,,,,,,,6.0,,['stroller'],0,3
0,0,896784,903142.0,,,,1.0,,,,,,,,,,['broom'],0,1
1,1,903142,911608.0,,,,,,,,,,,,,,no_ops,0,1
2,2,911608,930342.0,,,,,,,,,,,,1.0,,['stroller'],0,1
3,3,930342,934728.0,,,,,,,,,,,,,,no_ops,0,1
4,4,934728,961078.0,,,,2.0,,,,,,,,,,['broom'],0,1
5,5,961078,965940.0,,,,,,,,,,,,,,no_ops,0,1
6,6,965940,997560.0,,1.0,,,,,,,,,,,,"['bucket', 'balls']",1,2
9,9,997560,1001470.0,,,,,,,,,,,,,,no_ops,0,3
10,10,1001470,1026732.0,,,,,,,,,,,,2.0,,['stroller'],0,3
11,11,1026732,1031458.0,,,,,,,,,,,,,,no_ops,0,3
12,12,1031458,1041726.0,,,,,,,,,,,,3.0,,['stroller'],0,3
13,13,1041726,1049886.0,,,,,,,,,,,,,,no_ops,0,3
14,14,1049886,1067974.0,,,,,,,,,,,,4.0,,['stroller'],0,3
15,15,1067974,1072156.0,,,,,,,,,,,,,,no_ops,0,3
16,16,1072156,1073176.0,,,,,,,,,,,,6.0,,['stroller'],0,3
0,0,1507628,1511436.0,,,,,,2.0,,,,,,,,['food'],1,1
1,1,1511436,1514972.0,,,,4.0,,2.0,,,,,,,,"['broom', 'food']",0,2
2,2,1514972,1606160.0,,,,,,2.0,,,,,,,,"['grocery_cart', 'food', 'balls']",0,2
3,15,1606160,1607010.0,,,,,,2.0,,,,,,9.0,,"['food', 'stroller']",0,2
4,16,1607010,1688372.0,,,,,,2.0,,,,,,,,"['food', 'grocery_cart']",0,2
5,19,1688372,1689188.0,,,,,,2.0,,,,,,10.0,,"['food', 'stroller']",0,2
6,20,1689188,1835286.0,,,,,,2.0,,,,,,,,"['food', 'balls']",1,3
