index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,2207178.0,2212108.0,no_ops,,,,,,,,,,,,,,0,1
1,2212108.0,2217990.0,['clear_ball'],,,,,,,,35.0,,,,,,0,1
2,2217990.0,2221390.0,no_ops,,,,,,,,,,,,,,0,1
3,2221390.0,2221526.0,['clear_ball'],,,,,,,,36.0,,,,,,0,1
4,2221526.0,2229482.0,no_ops,,,,,,,,,,,,,,0,1
5,2229482.0,2235024.0,['clear_ball'],,,,,,,,37.0,,,,,,0,1
6,2235024.0,2239648.0,no_ops,,,,,,,,,,,,,,0,1
7,2239648.0,2239954.0,['clear_ball'],,,,,,,,38.0,,,,,,0,1
8,2239954.0,2245972.0,no_ops,,,,,,,,,,,,,,0,1
9,2245972.0,2311354.0,"['food', 'grocery_cart']",,,,,,,,,,,5.0,,,1,2
16,2311354.0,2312986.0,"['clear_ball', 'grocery_cart']",,,,,,,,39.0,,,7.0,,,0,3
17,2312986.0,2318052.0,['grocery_cart'],,,,,,,,,,,7.0,,,1,4
18,2318052.0,2330530.0,no_ops,,,,,,,,,,,,,,0,5
19,2330530.0,2340084.0,['clear_ball'],,,,,,,,40.0,,,,,,0,5
20,2340084.0,2346986.0,no_ops,,,,,,,,,,,,,,0,5
21,2346986.0,2357322.0,['clear_ball'],,,,,,,,42.0,,,,,,0,5
22,2357322.0,2367760.0,no_ops,,,,,,,,,,,,,,0,5
23,2367760.0,2370514.0,['grocery_cart'],,,,,,,,,,,8.0,,,1,6
24,2370514.0,2371568.0,"['clear_ball', 'grocery_cart']",,,,,,,,43.0,,,8.0,,,0,7
25,2371568.0,2437018.0,"['food', 'grocery_cart']",,,,,,,,,,,8.0,,,1,8
28,2438072.0,2450618.0,['clear_ball'],,,,,,,,44.0,,,,,,0,9
29,2450618.0,2456194.0,no_ops,,,,,,,,,,,,,,0,9
30,2456194.0,2490806.0,['broom'],,,,,,,2.0,,,,,,,0,9
31,2490806.0,2501550.0,no_ops,,,,,,,,,,,,,,0,9
