index,onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord,contain,g
0,208692.0,211106.0,"['popuppals', 'xylophone']",,,1.0,1.0,,,,,,,,,,0,1
1,211106.0,211140.0,['popuppals'],,,1.0,,,,,,,,,,,0,1
2,211140.0,220830.0,no_ops,,,,,,,,,,,,,,0,1
3,220830.0,237694.0,"['shape_sorter_blocks', 'shape_sorter']",,,,,1.0,1.0,,,,,,,,1,2
9,238612.0,256462.0,['bricks'],1.0,,,,,,,,,,,,,0,3
10,256462.0,266934.0,no_ops,,,,,,,,,,,,,,0,3
11,266934.0,272000.0,['xylophone'],,,,2.0,,,,,,,,,,0,3
12,273836.0,277746.0,['popuppals'],,,2.0,,,,,,,,,,,0,3
13,277746.0,278664.0,"['popuppals', 'xylophone']",,,2.0,3.0,,,,,,,,,,0,3
14,278664.0,331908.0,['popuppals'],,,2.0,,,,,,,,,,,0,3
15,331908.0,332010.0,"['popuppals', 'xylophone']",,,2.0,4.0,,,,,,,,,,0,3
16,332010.0,336396.0,['xylophone'],,,,4.0,,,,,,,,,,0,3
17,336396.0,347310.0,no_ops,,,,,,,,,,,,,,0,3
18,347310.0,360400.0,['pig'],,1.0,,,,,,,,,,,,0,3
19,360400.0,363766.0,no_ops,,,,,,,,,,,,,,0,3
20,363766.0,382398.0,['pig'],,2.0,,,,,,,,,,,,0,3
21,384166.0,407524.0,['xylophone'],,,,5.0,,,,,,,,,,0,3
22,408714.0,413202.0,['popuppals'],,,3.0,,,,,,,,,,,0,3
23,413202.0,446352.0,no_ops,,,,,,,,,,,,,,0,3
24,446352.0,447372.0,['bricks'],2.0,,,,,,,,,,,,,0,3
25,447372.0,499290.0,no_ops,,,,,,,,,,,,,,0,3
26,499290.0,505308.0,['pig'],,3.0,,,,,,,,,,,,0,3
27,505308.0,519860.0,no_ops,,,,,,,,,,,,,,0,3
28,519860.0,572152.0,['shape_sorter'],,,,,4.0,,,,,,,,,1,4
29,572152.0,584154.0,no_ops,,,,,,,,,,,,,,0,5
30,584154.0,585106.0,['bricks'],3.0,,,,,,,,,,,,,0,5
31,585106.0,598468.0,no_ops,,,,,,,,,,,,,,0,5
32,598468.0,637568.0,['bricks'],4.0,,,,,,,,,,,,,0,5
33,638520.0,639846.0,['shape_sorter_blocks'],,,,,,2.0,,,,,,,,1,6
34,639846.0,664632.0,no_ops,,,,,,,,,,,,,,0,7
35,664632.0,667522.0,['xylophone'],,,,7.0,,,,,,,,,,0,7
36,667522.0,671806.0,no_ops,,,,,,,,,,,,,,0,7
37,671806.0,685474.0,['xylophone'],,,,8.0,,,,,,,,,,0,7
38,685474.0,694586.0,no_ops,,,,,,,,,,,,,,0,7
