onset,offset,toy,bricks_ord,pig_ord,popuppals_ord,xylophone_ord,shape_sorter_ord,shape_sorter_blocks_ord,broom_ord,clear_ball_ord,balls_ord,food_ord,grocery_cart_ord,stroller_ord,bucket_ord
2316420.0,2328354,['bricks'],14.0,,,,,,,,,,,,
2328354.0,2336208,no_ops,,,,,,,,,,,,,
2336208.0,2352494,['bricks'],15.0,,,,,,,,,,,,
2352494.0,2358206,no_ops,,,,,,,,,,,,,
2358206.0,2405568,['popuppals'],,,4.0,,,,,,,,,,
2405568.0,2409036,no_ops,,,,,,,,,,,,,
2409036.0,2471290,['xylophone'],,,,6.0,,,,,,,,,
2473568.0,2477750,['popuppals'],,,5.0,,,,,,,,,,
2477750.0,2486862,no_ops,,,,,,,,,,,,,
2486862.0,2513552,['bricks'],16.0,,,,,,,,,,,,
2513552.0,2523582,no_ops,,,,,,,,,,,,,
2523582.0,2529124,['pig'],,6.0,,,,,,,,,,,
2529124.0,2537386,no_ops,,,,,,,,,,,,,
2537386.0,2549966,['shape_sorter'],,,,,11.0,,,,,,,,
2549966.0,2554318,no_ops,,,,,,,,,,,,,
2554318.0,2570230,['shape_sorter'],,,,,12.0,,,,,,,,
2570230.0,2571658,"['pig', 'shape_sorter']",,7.0,,,12.0,,,,,,,,
2571658.0,2572372,['pig'],,7.0,,,,,,,,,,,
2572372.0,2581280,no_ops,,,,,,,,,,,,,
2581280.0,2624324,['xylophone'],,,,8.0,,,,,,,,,
2624324.0,2631192,"['popuppals', 'xylophone']",,,6.0,8.0,,,,,,,,,
2631192.0,2658562,['popuppals'],,,6.0,,,,,,,,,,
2658562.0,2833560,no_ops,,,,,,,,,,,,,
2833560.0,2835668,['popuppals'],,,7.0,,,,,,,,,,
2835668.0,2844202,"['popuppals', 'xylophone']",,,7.0,9.0,,,,,,,,,
2844202.0,2847874,['xylophone'],,,,9.0,,,,,,,,,
2847874.0,2857904,"['popuppals', 'xylophone']",,,8.0,9.0,,,,,,,,,
