task.ordinal,task.onset,task.offset,task.task,floortime.ordinal,floortime.onset,floortime.offset,floortime.code01,all_toys.ordinal,all_toys.onset,all_toys.offset,all_toys.bricks_ord,all_toys.bucket_ord,all_toys.balls_ord,all_toys.broom_ord,all_toys.clear_ball_ord,all_toys.food_ord,all_toys.grocery_cart_ord,all_toys.pig_ord,all_toys.popuppals_ord,all_toys.shape_sorter_ord,all_toys.shape_sorter_blocks_ord,all_toys.stroller_ord,all_toys.xylophone_ord,bricks.ordinal,bricks.onset,bricks.offset,bricks.carry,bricks.roll_throw,bricks.build,bricks.knock,pig.ordinal,pig.onset,pig.offset,pig.carry,pig.roll_throw,popuppals.ordinal,popuppals.onset,popuppals.offset,popuppals.carry,popuppals.push_buttons,xylophone.ordinal,xylophone.onset,xylophone.offset,xylophone.carry,xylophone.push_buttons,shape_sorter.ordinal,shape_sorter.onset,shape_sorter.offset,shape_sorter.carry,shape_sorter.roll_throw,shape_sorter.empty,shape_sorter_blocks.ordinal,shape_sorter_blocks.onset,shape_sorter_blocks.offset,shape_sorter_blocks.carry,shape_sorter_blocks.roll_throw,shape_sorter_blocks.fit,broom.ordinal,broom.onset,broom.offset,broom.carry,broom.whack,clear_ball.ordinal,clear_ball.onset,clear_ball.offset,clear_ball.carry,clear_ball.roll_throw,clear_ball.kick,balls.ordinal,balls.onset,balls.offset,balls.carry,balls.roll_throw,balls.kick,food.ordinal,food.onset,food.offset,food.carry,food.roll_throw,food.eat,food.feed,grocery_cart.ordinal,grocery_cart.onset,grocery_cart.offset,grocery_cart.carry,grocery_cart.push,grocery_cart.fill_empty,stroller.ordinal,stroller.onset,stroller.offset,stroller.carry,stroller.push,stroller.sit,stroller.climb,stroller.fill_empty
1,296140,819128,NMM,1,296140,819128,"",1,297092,299914,"","",1,"","","","","","","","","","","","","","","","","","","","","","",1,913716,1237328,n,y,"","","","","",1,1253002,1253546,n,n,n,1,1253002,1287274,y,n,y,1,2684266,2685218,n,n,1,563176,563652,n,y,n,1,297092,309196,y,n,n,1,621350,626144,n,n,n,n,1,609314,613156,n,n,n,"","","","","","","",""
2,913716,1427932,NMS,2,913716,1427932,"",2,299914,301750,"",1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2,1255484,1255722,n,n,n,2,1289008,1293496,n,n,y,"","","","","",2,568378,569772,n,n,n,2,315758,325958,n,n,n,2,628184,628762,y,n,n,n,2,620432,624580,n,n,y,"","","","","","","",""
3,1517794,1684326,G,3,1768612,2264774,"",3,301750,306204,"","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3,1257592,1260108,n,n,n,3,1298460,1328074,n,n,y,"","","","","",3,586192,588948,n,y,n,3,328134,349588,n,n,n,3,630054,632536,y,y,n,n,3,635796,640050,n,n,n,"","","","","","","",""
4,1768612,2264774,MPS,4,2320500,2831316,"",4,306204,309196,"",2,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4,1264426,1268642,n,n,n,4,1329944,1409436,n,n,y,"","","","","",4,590988,592688,n,y,n,4,351696,360842,y,n,n,4,680170,684114,n,y,n,n,4,679252,683706,n,n,y,"","","","","","","",""
5,2320500,2831316,MPM,"","","","",5,309196,309366,"",2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5,1274898,1278774,n,n,n,5,1425688,1427932,n,n,n,"","","","","",5,2615178,2615688,n,n,n,5,361930,380086,y,n,n,5,689044,689132,n,n,n,n,5,708152,712504,n,n,y,"","","","","","","",""
"","","","","","","","",6,310828,315758,"",3,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",6,1281528,1284418,n,n,n,6,1768612,1811962,n,n,y,"","","","","",6,2616980,2619054,n,y,n,6,382534,393006,n,n,n,6,694892,695436,n,y,n,n,6,714782,725458,n,n,y,"","","","","","","",""
"","","","","","","","",7,315758,316172,"",3,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",7,1285846,1287274,n,n,n,7,1813016,1820734,n,n,y,"","","","","",7,2629900,2630138,n,n,y,7,397004,400554,n,n,n,7,708152,819128,y,y,n,n,7,728178,734876,n,n,y,"","","","","","","",""
"","","","","","","","",8,316172,319158,"","",2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",8,1290980,1293530,n,n,n,8,1822570,1917532,n,n,y,"","","","","",8,2633776,2634014,n,n,y,8,407422,427380,n,n,n,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",9,319158,322490,"",4,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",9,1294958,1296998,n,n,n,9,1920442,1928922,n,n,y,"","","","","",9,2650980,2655740,n,y,y,9,431868,453832,y,n,n,"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",10,322490,325958,"","",2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",10,1303560,1306654,n,n,n,10,1929976,1982852,n,n,y,"","","","","",10,2658392,2658494,n,n,n,10,455022,485418,y,y,n,"","","","","","","","","","","","","","","","","","","","",""
