task.ordinal,task.onset,task.offset,task.task,babymovement.ordinal,babymovement.onset,babymovement.offset,babymovement.locomotion,babymovement.momsupport,babymovement.steps
1,177004,687072,MPM,1,179112,182750,w,n,8
2,735148,1193400,MPS,2,232458,232730,w,n,1
3,1297610,1476926,G,3,234396,239564,w,n,10
4,1571072,2099636,NMS,4,242692,242828,w,n,1
5,2161856,2479076,NMM,5,247180,247452,w,n,1
6,4500512,4840444,NMM2,6,249866,251464,w,n,2
"","","","",7,254388,256190,w,n,3
"","","","",8,259998,262888,w,n,4
"","","","",9,268668,270674,w,n,4
"","","","",10,272272,274040,w,n,3
"","","","",11,277032,278936,w,n,3
"","","","",12,281690,281928,w,n,1
"","","","",13,284070,284240,w,n,1
"","","","",14,286824,293794,w,n,11
"","","","",15,293828,294338,f,n,.
"","","","",16,301784,302192,f,n,.
"","","","",17,304878,305184,f,n,.
"","","","",18,327964,328168,w,n,1
"","","","",19,337688,338980,w,n,2
"","","","",20,340884,346630,w,n,6
"","","","",21,349078,352682,w,n,5
"","","","",22,355742,363256,w,n,8
"","","","",23,365092,365398,f,n,.
"","","","",24,423198,438226,w,n,25
"","","","",25,443564,446522,w,n,6
"","","","",26,449820,457776,w,n,11
"","","","",27,460428,480420,w,n,36
"","","","",28,497760,499222,w,n,3
"","","","",29,502078,505070,w,n,7
"","","","",30,507416,507790,w,n,1
"","","","",31,537234,539648,w,n,3
"","","","",32,550868,551106,w,n,1
"","","","",33,555118,557532,w,n,4
"","","","",34,586568,587146,w,n,1
"","","","",35,604520,605030,h,n,1
"","","","",36,678776,678980,w,n,1
"","","","",37,680680,680918,w,n,1
"","","","",38,682380,682686,w,n,1
"","","","",39,689350,689656,w,n,1
"","","","",40,696830,697986,w,n,2
"","","","",41,701216,704922,w,n,5
"","","","",42,715938,717094,w,n,2
"","","","",43,720426,721582,w,n,2
"","","","",44,726104,726308,w,n,1
"","","","",45,741540,744362,w,n,4
"","","","",46,746742,754324,w,n,11
"","","","",47,757146,761328,w,n,9
"","","","",48,761974,762212,f,n,.
"","","","",49,765306,766292,w,n,3
"","","","",50,772480,776254,w,n,7
"","","","",51,1159264,1163446,w,n,5
"","","","",52,1167424,1174156,w,n,15
"","","","",53,1190068,1193332,w,n,6
"","","","",54,1574506,1584604,w,n,18
"","","","",55,1586610,1589126,w,n,5
"","","","",56,1591846,1592084,w,n,1
"","","","",57,1595960,1598034,w,n,2
"","","","",58,1603372,1608812,w,n,4
"","","","",59,1611464,1613198,w,n,2
"","","","",60,1621766,1635978,w,n,19
"","","","",61,1637032,1641860,w,n,12
"","","","",62,1644546,1645260,w,n,2
"","","","",63,1645668,1645872,f,n,.
"","","","",64,1672086,1676710,w,n,9
"","","","",65,1678954,1686774,w,n,16
"","","","",66,1690208,1690378,w,n,1
"","","","",67,1696396,1697518,w,n,3
"","","","",68,1715538,1715708,w,n,1
"","","","",69,1722134,1722338,w,n,1
"","","","",70,1727268,1727744,w,n,1
"","","","",71,1731960,1734034,w,n,1
"","","","",72,1736380,1737638,w,n,2
"","","","",73,1760350,1762832,w,n,4
"","","","",74,1765416,1775820,w,n,15
"","","","",75,1781260,1790508,w,n,17
"","","","",76,1796118,1796288,w,n,1
"","","","",77,1800368,1800640,w,n,1
"","","","",78,1806352,1807950,w,n,4
"","","","",79,1822502,1823012,w,n,2
"","","","",80,1824304,1825834,w,n,1
"","","","",81,1828010,1839842,w,n,14
"","","","",82,1843140,1843446,w,n,1
"","","","",83,1848104,1852354,w,n,6
"","","","",84,1857080,1857420,w,n,1
