feature,observation,state 0,state 1,state 2,state 3,state 4,state 5
0,1,0.32,0.13,0.54,0.59,0.22,0.34
0,2,0.47,0.72,0.06,0.27,0.5,0.48
0,3,0.16,0.08,0.31,0.07,0.22,0.14
0,4,0.06,0.07,0.1,0.08,0.07,0.03
1,0,0.06,0,0.02,0.02,0,0.02
1,1,0.17,0.04,0.01,0.27,0.08,0.1
1,2,0,0.44,0.36,0.35,0.48,0.24
1,3,0.47,0.13,0.45,0.03,0.06,0.37
1,4,0.29,0.39,0.16,0.32,0.38,0.27
2,0,0.23,0.03,0.07,0.25,0.1,0.1
2,1,0.02,0.35,0.29,0.34,0.26,0.23
2,2,0.37,0.22,0.34,0.1,0.26,0.31
2,3,0.22,0.16,0.28,0.03,0.26,0.25
2,4,0.17,0.24,0.01,0.28,0.12,0.11
3,1,0.1,0.04,0.09,0.11,0.05,0.12
3,2,0.25,0.23,0.07,0.14,0.26,0.25
3,3,0.23,0.37,0.31,0.33,0.4,0.14
3,4,0.24,0.29,0.34,0.11,0.21,0.28
3,5,0.19,0.06,0.19,0.3,0.08,0.21
4,0,0.37,0.02,0.33,0.18,0.43,0.44
4,1,0.11,0.23,0.2,0.3,0.11,0.07
4,2,0.2,0.41,0.29,0.19,0.22,0.03
4,3,0.19,0.15,0.01,0.1,0.1,0.31
4,4,0.13,0.19,0.16,0.24,0.14,0.15
