feature,observation,state 3,state 2,state 5,state 0,state 1,state 4
0,1,0.65,0.53,0.35,0.27,0.11,0.19
0,2,0.22,0.05,0.47,0.49,0.7,0.5
0,3,0.06,0.32,0.15,0.18,0.1,0.25
0,4,0.07,0.1,0.03,0.06,0.09,0.07
1,0,0.03,0.02,0.03,0.07,0,0.01
1,1,0.32,0.01,0.1,0.16,0.04,0.07
1,2,0.34,0.34,0.23,0,0.43,0.45
1,3,0.04,0.46,0.38,0.48,0.14,0.07
1,4,0.28,0.17,0.27,0.29,0.4,0.41
2,0,0.29,0.08,0.11,0.23,0.04,0.1
2,1,0.34,0.27,0.21,0.01,0.32,0.22
2,2,0.11,0.35,0.32,0.37,0.23,0.27
2,3,0.03,0.29,0.25,0.22,0.17,0.28
2,4,0.23,0.01,0.11,0.17,0.24,0.13
3,1,0.12,0.08,0.12,0.11,0.04,0.04
3,2,0.13,0.07,0.25,0.25,0.25,0.27
3,3,0.31,0.32,0.15,0.24,0.38,0.42
3,4,0.11,0.35,0.27,0.24,0.28,0.2
3,5,0.33,0.18,0.2,0.16,0.06,0.07
4,0,0.21,0.35,0.46,0.36,0.02,0.45
4,1,0.29,0.2,0.07,0.1,0.21,0.11
4,2,0.2,0.28,0.03,0.22,0.44,0.21
4,3,0.08,0.01,0.28,0.18,0.16,0.09
4,4,0.22,0.16,0.15,0.13,0.17,0.14
