feature,observation,state 0,state 1,state 2,state 3,state 4,state 5,state 6,state 7
0,1,0.28,0.14,0.51,0.62,0.21,0.39,0.36,0.32
0,2,0.48,0.7,0.04,0.25,0.49,0.46,0.37,0.41
0,3,0.17,0.07,0.34,0.05,0.22,0.12,0.24,0.19
0,4,0.06,0.08,0.11,0.08,0.07,0.03,0.04,0.08
1,0,0.06,0.0,0.01,0.02,0.0,0.02,0.0,0.04
1,1,0.14,0.04,0.01,0.25,0.07,0.1,0.09,0.12
1,2,0.0,0.49,0.39,0.4,0.51,0.24,0.17,0.31
1,3,0.52,0.11,0.42,0.04,0.06,0.37,0.56,0.06
1,4,0.28,0.36,0.17,0.29,0.36,0.27,0.18,0.46
2,0,0.19,0.02,0.06,0.2,0.06,0.07,0.14,0.25
2,1,0.02,0.37,0.33,0.4,0.27,0.25,0.14,0.19
2,2,0.4,0.26,0.33,0.13,0.32,0.33,0.41,0.1
2,3,0.24,0.16,0.28,0.03,0.26,0.26,0.25,0.2
2,4,0.15,0.19,0.01,0.24,0.09,0.09,0.07,0.27
3,1,0.11,0.05,0.07,0.13,0.05,0.14,0.04,0.07
3,2,0.26,0.25,0.06,0.14,0.28,0.26,0.2,0.19
3,3,0.24,0.36,0.32,0.34,0.41,0.13,0.35,0.33
3,4,0.23,0.29,0.36,0.11,0.19,0.27,0.19,0.26
3,5,0.16,0.06,0.19,0.29,0.07,0.21,0.21,0.15
4,0,0.4,0.03,0.35,0.21,0.5,0.53,0.07,0.37
4,1,0.08,0.21,0.16,0.29,0.08,0.06,0.36,0.11
4,2,0.23,0.44,0.3,0.18,0.22,0.03,0.09,0.25
4,3,0.16,0.15,0.01,0.09,0.07,0.25,0.47,0.05
4,4,0.13,0.17,0.18,0.23,0.13,0.14,0.02,0.22
