feature,observation,state 0,state 1,state 2,state 3,state 4,state 5,state 6,state 7
0,1,1,0.14,0.2,0.84,0.39,0.6,0.32,0.1
0,2,0,0.56,0.39,0.14,0.38,0.32,0.46,0.49
0,3,0,0.21,0.34,0.01,0.18,0.04,0.17,0.27
0,4,0,0.1,0.07,0,0.05,0.04,0.05,0.15
1,0,0.97,0,0,0,0,0,0,0
1,1,0.02,0,0,1,0.01,0,0,0
1,2,0.01,0,0.86,0,0.62,0.97,0,0
1,3,0,0,0.14,0,0.37,0.03,1,0.19
1,4,0,1,0,0,0,0,0,0.81
2,0,1,0,0.25,0.54,0.08,0.08,0,0
2,1,0,0.01,0.51,0.46,0.28,0.63,0.08,0
2,2,0,0.11,0.24,0,0.52,0.29,0.66,0.06
2,3,0,0.47,0,0,0.13,0,0.26,0.47
2,4,0,0.41,0,0,0,0,0,0.47
3,1,1,0.05,0.01,0.2,0.07,0.03,0.06,0.06
3,2,0,0.32,0.04,0.1,0.17,0.17,0.27,0.33
3,3,0,0.36,0.27,0.09,0.3,0.27,0.31,0.31
3,4,0,0.16,0.41,0.18,0.29,0.3,0.25,0.2
3,5,0,0.11,0.26,0.43,0.17,0.23,0.11,0.1
4,0,1,0,0,0.43,1,0.04,0.04,1
4,1,0,0.17,0.02,0.2,0,0.43,0.25,0
4,2,0,0.36,0,0.18,0,0.5,0.26,0
4,3,0,0.31,0.25,0,0,0.03,0.36,0
4,4,0,0.17,0.72,0.2,0,0,0.09,0
