feature,observation,state 0,state 1,state 2,state 3
0,1,0.27,0.17,0.42,1.0
0,2,0.45,0.55,0.37,0.0
0,3,0.2,0.21,0.17,0.0
0,4,0.09,0.08,0.04,0.0
1,0,0.0,0.0,0.0,0.35
1,1,0.04,0.0,0.06,0.63
1,2,0.35,0.0,0.64,0.02
1,3,0.28,0.33,0.3,0.0
1,4,0.33,0.67,0.0,0.0
2,0,0.07,0.0,0.13,0.69
2,1,0.18,0.01,0.45,0.31
2,2,0.33,0.24,0.42,0.0
2,3,0.24,0.47,0.0,0.0
2,4,0.19,0.28,0.0,0.0
3,1,0.06,0.06,0.05,0.56
3,2,0.24,0.32,0.13,0.07
3,3,0.32,0.34,0.3,0.02
3,4,0.26,0.18,0.32,0.08
3,5,0.13,0.1,0.2,0.26
4,0,1.0,0.05,0.05,0.66
4,1,0.0,0.17,0.23,0.14
4,2,0.0,0.32,0.23,0.09
4,3,0.0,0.32,0.18,0.0
4,4,0.0,0.13,0.31,0.11
