feature,observation,state 0,state 1,state 2,state 3,state 4,state 5,state 6,state 7
0,1,1.0,0.14,0.21,0.86,0.41,0.54,0.33,0.14
0,2,0.0,0.56,0.41,0.13,0.35,0.31,0.44,0.52
0,3,0.0,0.21,0.33,0.01,0.19,0.11,0.17,0.22
0,4,0.0,0.09,0.05,0.0,0.05,0.04,0.05,0.12
1,0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.0
1,2,0.01,0.0,1.0,0.0,0.8,1.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0,0.19,0.0,1.0,0.35
1,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.65
2,0,1.0,0.0,0.25,0.52,0.1,0.11,0.01,0.0
2,1,0.0,0.01,0.48,0.48,0.32,0.64,0.12,0.01
2,2,0.0,0.12,0.27,0.0,0.58,0.25,0.62,0.16
2,3,0.0,0.45,0.0,0.0,0.0,0.0,0.26,0.46
2,4,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.38
3,1,1.0,0.06,0.04,0.25,0.07,0.06,0.07,0.07
3,2,0.0,0.33,0.06,0.11,0.16,0.15,0.23,0.32
3,3,0.0,0.35,0.24,0.11,0.3,0.3,0.33,0.32
3,4,0.0,0.16,0.42,0.18,0.29,0.29,0.25,0.2
3,5,0.0,0.11,0.25,0.35,0.18,0.2,0.11,0.09
4,0,1.0,0.01,0.0,0.45,1.0,0.0,0.05,1.0
4,1,0.0,0.16,0.0,0.2,0.0,0.4,0.23,0.0
4,2,0.0,0.36,0.0,0.15,0.0,0.39,0.24,0.0
4,3,0.0,0.3,0.02,0.0,0.0,0.21,0.35,0.0
4,4,0.0,0.17,0.98,0.2,0.0,0.0,0.14,0.0
