feature,observation,state 0,state 1,state 2,state 3,state 4
0,1,1.0,0.43,0.9,0.54,0.2
0,2,0.0,0.47,0.1,0.35,0.58
0,3,0.0,0.07,0.0,0.09,0.18
0,4,0.0,0.02,0.0,0.02,0.05
1,0,1.0,0.0,0.0,0.0,0.0
1,1,0.0,0.0,1.0,0.0,0.0
1,2,0.0,0.0,0.0,1.0,0.0
1,3,0.0,0.92,0.0,0.0,0.0
1,4,0.0,0.08,0.0,0.0,1.0
2,0,1.0,0.01,0.54,0.16,0.0
2,1,0.0,0.12,0.46,0.52,0.0
2,2,0.0,0.57,0.0,0.32,0.08
2,3,0.0,0.3,0.0,0.0,0.48
2,4,0.0,0.0,0.0,0.0,0.43
3,1,1.0,0.07,0.2,0.05,0.05
3,2,0.0,0.23,0.12,0.14,0.31
3,3,0.0,0.32,0.13,0.27,0.34
3,4,0.0,0.24,0.18,0.3,0.19
3,5,0.0,0.15,0.37,0.24,0.11
