feature,observation,state 0,state 1,state 2,state 3,state 4
0,1,1.0,0.56,0.99,0.46,0.11
0,2,0.0,0.31,0.01,0.45,0.59
0,3,0.0,0.09,0.0,0.08,0.21
0,4,0.0,0.04,0.0,0.01,0.09
1,0,0.74,0.0,0.0,0.0,0.0
1,1,0.24,0.0,0.31,0.23,0.0
1,2,0.03,0.02,0.58,0.61,0.0
1,3,0.0,0.65,0.11,0.16,0.36
1,4,0.0,0.33,0.0,0.0,0.64
2,0,0.82,0.01,0.85,0.18,0.0
2,1,0.18,0.41,0.09,0.52,0.0
2,2,0.0,0.37,0.06,0.3,0.34
2,3,0.0,0.21,0.0,0.0,0.41
2,4,0.0,0.0,0.0,0.0,0.25
3,1,0.99,0.0,0.0,0.09,0.06
3,2,0.01,0.0,0.0,0.2,0.29
3,3,0.0,0.15,0.0,0.3,0.36
3,4,0.0,0.26,0.03,0.32,0.22
3,5,0.0,0.59,0.97,0.09,0.07
