feature,observation,state 0,state 1,state 2,state 3,state 4
0,1,0.5,0.14,0.69,1.0,1.0
0,2,0.41,0.58,0.22,0.0,0.0
0,3,0.08,0.2,0.06,0.0,0.0
0,4,0.01,0.08,0.02,0.0,0.0
1,0,0.0,0.0,0.0,0.0,1.0
1,1,0.27,0.0,0.0,0.34,0.0
1,2,0.57,0.0,0.04,0.66,0.0
1,3,0.16,0.39,0.68,0.0,0.0
1,4,0.0,0.61,0.28,0.0,0.0
2,0,0.19,0.0,0.16,0.86,1.0
2,1,0.54,0.01,0.41,0.07,0.0
2,2,0.28,0.37,0.27,0.06,0.0
2,3,0.0,0.4,0.15,0.0,0.0
2,4,0.0,0.22,0.0,0.0,0.0
3,1,0.13,0.05,0.0,0.0,1.0
3,2,0.18,0.27,0.0,0.0,0.0
3,3,0.29,0.36,0.05,0.0,0.0
3,4,0.31,0.24,0.17,0.01,0.0
3,5,0.09,0.08,0.77,0.99,0.0
