feature,observation,state 0,state 1,state 2,state 3,state 4
0,1,0.49,0.13,0.99,0.69,1.0
0,2,0.42,0.58,0.01,0.22,0.0
0,3,0.08,0.21,0.0,0.06,0.0
0,4,0.01,0.09,0.0,0.03,0.0
1,0,0.0,0.0,0.0,0.0,1.0
1,1,0.26,0.0,0.34,0.0,0.0
1,2,0.57,0.0,0.66,0.04,0.0
1,3,0.17,0.39,0.0,0.69,0.0
1,4,0.0,0.61,0.0,0.27,0.0
2,0,0.18,0.0,0.86,0.16,1.0
2,1,0.53,0.01,0.08,0.41,0.0
2,2,0.29,0.37,0.06,0.27,0.0
2,3,0.0,0.41,0.0,0.15,0.0
2,4,0.0,0.21,0.0,0.01,0.0
3,1,0.12,0.05,0.0,0.0,1.0
3,2,0.18,0.26,0.0,0.0,0.0
3,3,0.29,0.37,0.0,0.07,0.0
3,4,0.32,0.24,0.02,0.18,0.0
3,5,0.09,0.09,0.98,0.75,0.0
